director_key,director_name
38a3c35b8ff74f1a7eaf32767fa0fa6d,Clarence Yiu-leung Fok
df70d90eb00a8b4ef6f34b85bfac44c6,Fernando Ayllón
54a516d7e54b34ac017a60363aae4818,Karan Johar
07a1e20f84396ead9aa06baab7a9dafc,Reema Kagti
f96d4580cd889ff55594b9be314f9f2e,Nikhil Advani
b96bb76fb8f34cc529e4d683c5a30ee9,Meltem Bozoflu
340a056dd7f62a29d7e5666a46fc70b6,Shammi Kapoor
27c6d1f3355159ff984341ea096d66b7,Santosh Manjrekar
26a3753beaf876a3169c5c9cc15b0eda,Melinda Janko
94242a96c89bf4ed07cacacafc5515d6,Guillermo de Oliveira
3ba0c5f7b28c283888d49600ffeed53f,Matt Askem
0956f7571f6ec1071b799e1fbfd390db,"Coerte Voorhees, John Voorhees"
7f90fceb01452732edde58bf64aa6559,Mohammad Irfan Ramly
3c4e6ea19a0c71dc49525d4042c77708,Mukul Anand
04e93ac8609a4f1b15b0050a7aa44b02,Mozez Singh
29bb7221106d6bb12faa7953e73d0956,Amit Saxena
027b178bf592670b341bb342909490d6,Park Joon-hwa
9333a32b20011719d790a008f9553eaa,"Raúl Campos, Jan Suter"
326dd434dcdf052960523b896b6b2d9b,Manish Saini
f207a14186d276055ed500bb371cc111,"Volker Arzt, Angelika Sigl"
b4bb7b1859b7d98205faf53cd143fd3a,Christine Luby
972163576a50e39f55f3a5b0fb0b4fd4,Na Hyeon
8c812ad0e3413a59f032795693496631,William Kaufman
39b0ae03ef4a55459a4200ec1a0984cd,"Grand Corps Malade, Mehdi Idir"
817bd7ffbb42091dcb7d9a5e6c2b3a7a,Claude Lelouch
67d3fc4b75e76df12da35363a3e668af,Curro Velázquez
be8c540cbf69238086376df46bd650aa,"Roger Graef, James Rogan"
0d5fc92172c4b214389c562bef5891c8,Tony Stone
